local code,text,table_name,parent_varname,local code system,code,display,code system,comment
SIBINLAW,sibling in-law,,,family_member,SIBINLAW,sibling in-law,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
BROINLAW,brother-in-law,,,family_member,BROINLAW,brother-in-law,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
SISINLAW,sister-in-law,,,family_member,SISINLAW,sister-in-law,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NIENEPH,niece/nephew,,,family_member,NIENEPH,niece/nephew,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NEPHEW,nephew,,,family_member,NEPHEW,nephew,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NIECE,niece,,,family_member,NIECE,niece,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
UNCLE,uncle,,,family_member,UNCLE,uncle,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
MUNCLE,maternal uncle,,,family_member,MUNCLE,maternal uncle,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
PUNCLE,paternal uncle,,,family_member,PUNCLE,paternal uncle,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
PRN,parent,,,family_member,PRN,parent,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
ADOPTP,adoptive parent,,,family_member,ADOPTP,adoptive parent,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
ADOPTF,adoptive father,,,family_member,ADOPTF,adoptive father,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
ADOPTM,adoptive mother,,,family_member,ADOPTM,adoptive mother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
FTH,father,,,family_member,FTH,father,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
FTHFOST,foster father,,,family_member,FTHFOST,foster father,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NFTH,natural father,,,family_member,NFTH,natural father,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NFTHF,natural father of fetus,,,family_member,NFTHF,natural father of fetus,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
STPFTH,stepfather,,,family_member,STPFTH,stepfather,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
MTH,mother,,,family_member,MTH,mother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
GESTM,gestational mother,,,family_member,GESTM,gestational mother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
MTHFOST,foster mother,,,family_member,MTHFOST,foster mother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NMTH,natural mother,,,family_member,NMTH,natural mother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NMTHF,natural mother of fetus,,,family_member,NMTHF,natural mother of fetus,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
STPMTH,stepmother,,,family_member,STPMTH,stepmother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NPRN,natural parent,,,family_member,NPRN,natural parent,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
PRNFOST,foster parent,,,family_member,PRNFOST,foster parent,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
STPPRN,step parent,,,family_member,STPPRN,step parent,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
SIB,sibling,,,family_member,SIB,sibling,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
BRO,brother,,,family_member,BRO,brother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
HBRO,half-brother,,,family_member,HBRO,half-brother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NBRO,natural brother,,,family_member,NBRO,natural brother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
TWINBRO,twin brother,,,family_member,TWINBRO,twin brother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
FTWINBRO,fraternal twin brother,,,family_member,FTWINBRO,fraternal twin brother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
ITWINBRO,identical twin brother,,,family_member,ITWINBRO,identical twin brother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
STPBRO,stepbrother,,,family_member,STPBRO,stepbrother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
HSIB,half-sibling,,,family_member,HSIB,half-sibling,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
HSIS,half-sister,,,family_member,HSIS,half-sister,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NSIB,natural sibling,,,family_member,NSIB,natural sibling,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
NSIS,natural sister,,,family_member,NSIS,natural sister,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
TWINSIS,twin sister,,,family_member,TWINSIS,twin sister,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
FTWINSIS,fraternal twin sister,,,family_member,FTWINSIS,fraternal twin sister,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
ITWINSIS,identical twin sister,,,family_member,ITWINSIS,identical twin sister,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
TWIN,twin,,,family_member,TWIN,twin,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
FTWIN,fraternal twin,,,family_member,FTWIN,fraternal twin,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
ITWIN,identical twin,,,family_member,ITWIN,identical twin,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
SIS,sister,,,family_member,SIS,sister,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
STPSIS,stepsister,,,family_member,STPSIS,stepsister,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
STPSIB,step sibling,,,family_member,STPSIB,step sibling,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
SIGOTHR,significant other,,,family_member,SIGOTHR,significant other,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
DOMPART,domestic partner,,,family_member,DOMPART,domestic partner,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
FMRSPS,former spouse,,,family_member,FMRSPS,former spouse,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
SPS,spouse,,,family_member,SPS,spouse,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
HUSB,husband,,,family_member,HUSB,husband,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
WIFE,wife,,,family_member,WIFE,wife,http://terminology.hl7.org/CodeSystem/v3-RoleCode,,
